trial_id,title,condition,intervention,phase,status,start_date,estimated_completion,sponsor,enrollment_target,primary_endpoint,location,inclusion_criteria,exclusion_criteria
NCT95157374,A Phase I Study of Stem cell therapy in Diabetes Type 1,Diabetes Type 1,Immunotherapy,IV,"Active, not recruiting",2024-01-11,2025-12-29,Novartis,2709,Safety and efficacy of intervention in Diabetes Type 1,United States,Adults aged 18-75 with confirmed Diabetes Type 1,"Pregnancy, severe comorbidities, previous treatment failure"
NCT53001719,A Phase III Study of Behavioral intervention in Colorectal Cancer,Colorectal Cancer,Surgical procedure,II,Completed,2018-12-15,2021-07-30,Roche,3778,Safety and efficacy of intervention in Colorectal Cancer,Europe,Adults aged 18-75 with confirmed Colorectal Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT68531856,A Phase II Study of Vaccine in Alzheimer's Disease,Alzheimer's Disease,Stem cell therapy,II,"Active, not recruiting",2022-10-21,2023-12-09,Pfizer,4311,Safety and efficacy of intervention in Alzheimer's Disease,Global,Adults aged 18-75 with confirmed Alzheimer's Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT88774567,A Phase I Study of Novel pharmaceutical compound in Alzheimer's Disease,Alzheimer's Disease,Dietary supplement,I,Completed,2022-06-14,2025-11-20,Academic Medical Center,127,Safety and efficacy of intervention in Alzheimer's Disease,Asia-Pacific,Adults aged 18-75 with confirmed Alzheimer's Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT14144375,A Phase II Study of Surgical procedure in Depression,Depression,Gene therapy,II,Suspended,2024-04-13,2026-04-11,NIH,273,Safety and efficacy of intervention in Depression,Europe,Adults aged 18-75 with confirmed Depression,"Pregnancy, severe comorbidities, previous treatment failure"
NCT79862233,A Phase III Study of Immunotherapy in ADHD,ADHD,Surgical procedure,II,"Active, not recruiting",2023-04-01,2025-01-13,Academic Medical Center,222,Safety and efficacy of intervention in ADHD,Europe,Adults aged 18-75 with confirmed ADHD,"Pregnancy, severe comorbidities, previous treatment failure"
NCT76605783,A Phase II Study of Combination therapy in HIV/AIDS,HIV/AIDS,Surgical procedure,II,"Active, not recruiting",2021-03-18,2025-07-02,Academic Medical Center,637,Safety and efficacy of intervention in HIV/AIDS,Global,Adults aged 18-75 with confirmed HIV/AIDS,"Pregnancy, severe comorbidities, previous treatment failure"
NCT26508019,A Phase IV Study of Behavioral intervention in Schizophrenia,Schizophrenia,Gene therapy,IV,Recruiting,2020-03-11,2021-12-26,Academic Medical Center,4435,Safety and efficacy of intervention in Schizophrenia,Asia-Pacific,Adults aged 18-75 with confirmed Schizophrenia,"Pregnancy, severe comorbidities, previous treatment failure"
NCT39609749,A Phase IV Study of Combination therapy in Lupus,Lupus,Surgical procedure,III,Recruiting,2019-01-12,2019-10-06,GSK,4408,Safety and efficacy of intervention in Lupus,Europe,Adults aged 18-75 with confirmed Lupus,"Pregnancy, severe comorbidities, previous treatment failure"
NCT97903324,A Phase II Study of Gene therapy in Hypertension,Hypertension,Dietary supplement,I,Terminated,2019-02-21,2022-07-10,Merck,3635,Safety and efficacy of intervention in Hypertension,United States,Adults aged 18-75 with confirmed Hypertension,"Pregnancy, severe comorbidities, previous treatment failure"
NCT11376744,A Phase I Study of Gene therapy in ADHD,ADHD,Novel pharmaceutical compound,III,Completed,2019-07-22,2021-03-18,Johnson & Johnson,2080,Safety and efficacy of intervention in ADHD,United States,Adults aged 18-75 with confirmed ADHD,"Pregnancy, severe comorbidities, previous treatment failure"
NCT64258310,A Phase IV Study of Stem cell therapy in Prostate Cancer,Prostate Cancer,Surgical procedure,II,Suspended,2019-06-30,2023-04-27,Academic Medical Center,2619,Safety and efficacy of intervention in Prostate Cancer,Europe,Adults aged 18-75 with confirmed Prostate Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT23052708,A Phase II Study of Vaccine in Psoriasis,Psoriasis,Novel pharmaceutical compound,II,Not yet recruiting,2023-07-19,2028-04-09,Merck,4051,Safety and efficacy of intervention in Psoriasis,Europe,Adults aged 18-75 with confirmed Psoriasis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT81723666,A Phase II Study of Dietary supplement in Sleep Apnea,Sleep Apnea,Combination therapy,IV,Suspended,2023-12-20,2024-06-30,Novartis,1183,Safety and efficacy of intervention in Sleep Apnea,Asia-Pacific,Adults aged 18-75 with confirmed Sleep Apnea,"Pregnancy, severe comorbidities, previous treatment failure"
NCT41271494,A Phase I Study of Combination therapy in Rheumatoid Arthritis,Rheumatoid Arthritis,Novel pharmaceutical compound,II,Not yet recruiting,2022-06-17,2025-08-07,Johnson & Johnson,4285,Safety and efficacy of intervention in Rheumatoid Arthritis,United States,Adults aged 18-75 with confirmed Rheumatoid Arthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT35378465,A Phase II Study of Dietary supplement in Bipolar Disorder,Bipolar Disorder,Immunotherapy,III,Completed,2024-08-18,2025-06-24,NIH,864,Safety and efficacy of intervention in Bipolar Disorder,Global,Adults aged 18-75 with confirmed Bipolar Disorder,"Pregnancy, severe comorbidities, previous treatment failure"
NCT64704172,A Phase IV Study of Combination therapy in COPD,COPD,Vaccine,IV,"Active, not recruiting",2018-12-02,2023-09-02,Novartis,3565,Safety and efficacy of intervention in COPD,Europe,Adults aged 18-75 with confirmed COPD,"Pregnancy, severe comorbidities, previous treatment failure"
NCT64554352,A Phase IV Study of Vaccine in HIV/AIDS,HIV/AIDS,Surgical procedure,I,Recruiting,2025-08-05,2027-01-06,Novartis,3650,Safety and efficacy of intervention in HIV/AIDS,Europe,Adults aged 18-75 with confirmed HIV/AIDS,"Pregnancy, severe comorbidities, previous treatment failure"
NCT64540148,A Phase IV Study of Dietary supplement in Rheumatoid Arthritis,Rheumatoid Arthritis,Immunotherapy,I,Terminated,2019-05-13,2024-02-09,Pfizer,1685,Safety and efficacy of intervention in Rheumatoid Arthritis,Asia-Pacific,Adults aged 18-75 with confirmed Rheumatoid Arthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT83166440,A Phase II Study of Vaccine in Lung Cancer,Lung Cancer,Combination therapy,IV,"Active, not recruiting",2024-12-11,2026-04-30,GSK,3997,Safety and efficacy of intervention in Lung Cancer,Europe,Adults aged 18-75 with confirmed Lung Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT81573732,A Phase II Study of Immunotherapy in Chronic Kidney Disease,Chronic Kidney Disease,Novel pharmaceutical compound,III,Completed,2021-11-24,2022-08-25,Roche,200,Safety and efficacy of intervention in Chronic Kidney Disease,United States,Adults aged 18-75 with confirmed Chronic Kidney Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT87271089,A Phase I Study of Medical device in Rheumatoid Arthritis,Rheumatoid Arthritis,Stem cell therapy,II,"Active, not recruiting",2024-03-27,2026-03-16,Pfizer,4503,Safety and efficacy of intervention in Rheumatoid Arthritis,Europe,Adults aged 18-75 with confirmed Rheumatoid Arthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT66267299,A Phase IV Study of Immunotherapy in Lupus,Lupus,Novel pharmaceutical compound,IV,Suspended,2023-04-10,2025-09-28,Pfizer,4839,Safety and efficacy of intervention in Lupus,United States,Adults aged 18-75 with confirmed Lupus,"Pregnancy, severe comorbidities, previous treatment failure"
NCT74931251,A Phase II Study of Stem cell therapy in Diabetes Type 1,Diabetes Type 1,Immunotherapy,IV,Recruiting,2022-08-31,2027-02-18,Novartis,426,Safety and efficacy of intervention in Diabetes Type 1,Global,Adults aged 18-75 with confirmed Diabetes Type 1,"Pregnancy, severe comorbidities, previous treatment failure"
NCT13459620,A Phase I Study of Behavioral intervention in COPD,COPD,Combination therapy,IV,"Active, not recruiting",2025-08-01,2029-07-10,GSK,1105,Safety and efficacy of intervention in COPD,Europe,Adults aged 18-75 with confirmed COPD,"Pregnancy, severe comorbidities, previous treatment failure"
NCT66341384,A Phase IV Study of Gene therapy in Alzheimer's Disease,Alzheimer's Disease,Dietary supplement,III,Recruiting,2021-02-17,2024-08-18,Johnson & Johnson,542,Safety and efficacy of intervention in Alzheimer's Disease,Global,Adults aged 18-75 with confirmed Alzheimer's Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT88998897,A Phase II Study of Novel pharmaceutical compound in Hypertension,Hypertension,Immunotherapy,I,Not yet recruiting,2022-11-28,2025-05-28,GSK,3300,Safety and efficacy of intervention in Hypertension,Global,Adults aged 18-75 with confirmed Hypertension,"Pregnancy, severe comorbidities, previous treatment failure"
NCT72153962,A Phase III Study of Medical device in Diabetes Type 1,Diabetes Type 1,Medical device,II,Recruiting,2021-08-18,2022-07-07,Johnson & Johnson,1733,Safety and efficacy of intervention in Diabetes Type 1,Asia-Pacific,Adults aged 18-75 with confirmed Diabetes Type 1,"Pregnancy, severe comorbidities, previous treatment failure"
NCT68814079,A Phase III Study of Dietary supplement in Depression,Depression,Behavioral intervention,I,Recruiting,2021-01-02,2023-01-30,Roche,2954,Safety and efficacy of intervention in Depression,United States,Adults aged 18-75 with confirmed Depression,"Pregnancy, severe comorbidities, previous treatment failure"
NCT16304056,A Phase I Study of Behavioral intervention in Breast Cancer,Breast Cancer,Immunotherapy,IV,Completed,2021-05-28,2024-09-23,Merck,328,Safety and efficacy of intervention in Breast Cancer,Asia-Pacific,Adults aged 18-75 with confirmed Breast Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT71007691,A Phase III Study of Surgical procedure in Parkinson's Disease,Parkinson's Disease,Behavioral intervention,IV,Terminated,2022-12-08,2023-08-20,Roche,3414,Safety and efficacy of intervention in Parkinson's Disease,Europe,Adults aged 18-75 with confirmed Parkinson's Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT93864166,A Phase I Study of Vaccine in Diabetes Type 2,Diabetes Type 2,Stem cell therapy,III,Suspended,2023-10-04,2027-07-19,Academic Medical Center,3105,Safety and efficacy of intervention in Diabetes Type 2,Europe,Adults aged 18-75 with confirmed Diabetes Type 2,"Pregnancy, severe comorbidities, previous treatment failure"
NCT43255264,A Phase IV Study of Combination therapy in Lupus,Lupus,Immunotherapy,II,Completed,2022-11-03,2024-07-22,Roche,324,Safety and efficacy of intervention in Lupus,Asia-Pacific,Adults aged 18-75 with confirmed Lupus,"Pregnancy, severe comorbidities, previous treatment failure"
NCT69709477,A Phase IV Study of Novel pharmaceutical compound in Diabetes Type 1,Diabetes Type 1,Dietary supplement,I,Terminated,2018-11-22,2020-08-20,Academic Medical Center,4401,Safety and efficacy of intervention in Diabetes Type 1,United States,Adults aged 18-75 with confirmed Diabetes Type 1,"Pregnancy, severe comorbidities, previous treatment failure"
NCT72505017,A Phase I Study of Dietary supplement in Lupus,Lupus,Dietary supplement,II,"Active, not recruiting",2024-10-18,2028-05-14,Pfizer,468,Safety and efficacy of intervention in Lupus,Global,Adults aged 18-75 with confirmed Lupus,"Pregnancy, severe comorbidities, previous treatment failure"
NCT32098190,A Phase III Study of Immunotherapy in Prostate Cancer,Prostate Cancer,Medical device,III,Recruiting,2021-06-01,2024-08-22,NIH,3647,Safety and efficacy of intervention in Prostate Cancer,Global,Adults aged 18-75 with confirmed Prostate Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT71514890,A Phase I Study of Gene therapy in Hypertension,Hypertension,Medical device,III,Completed,2020-07-07,2021-09-02,Johnson & Johnson,4583,Safety and efficacy of intervention in Hypertension,Asia-Pacific,Adults aged 18-75 with confirmed Hypertension,"Pregnancy, severe comorbidities, previous treatment failure"
NCT25089705,A Phase III Study of Gene therapy in Sleep Apnea,Sleep Apnea,Dietary supplement,III,Terminated,2020-10-01,2025-06-05,Roche,3093,Safety and efficacy of intervention in Sleep Apnea,United States,Adults aged 18-75 with confirmed Sleep Apnea,"Pregnancy, severe comorbidities, previous treatment failure"
NCT11497468,A Phase IV Study of Novel pharmaceutical compound in Schizophrenia,Schizophrenia,Novel pharmaceutical compound,II,"Active, not recruiting",2022-03-03,2026-01-05,Pfizer,4344,Safety and efficacy of intervention in Schizophrenia,Europe,Adults aged 18-75 with confirmed Schizophrenia,"Pregnancy, severe comorbidities, previous treatment failure"
NCT16077377,A Phase II Study of Behavioral intervention in COPD,COPD,Gene therapy,II,"Active, not recruiting",2024-06-15,2027-02-27,Johnson & Johnson,585,Safety and efficacy of intervention in COPD,United States,Adults aged 18-75 with confirmed COPD,"Pregnancy, severe comorbidities, previous treatment failure"
NCT14475790,A Phase I Study of Gene therapy in Alzheimer's Disease,Alzheimer's Disease,Vaccine,II,Not yet recruiting,2023-10-10,2025-03-30,GSK,223,Safety and efficacy of intervention in Alzheimer's Disease,Europe,Adults aged 18-75 with confirmed Alzheimer's Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT35363168,A Phase IV Study of Novel pharmaceutical compound in Diabetes Type 2,Diabetes Type 2,Vaccine,IV,Recruiting,2019-10-14,2023-09-15,GSK,2024,Safety and efficacy of intervention in Diabetes Type 2,Europe,Adults aged 18-75 with confirmed Diabetes Type 2,"Pregnancy, severe comorbidities, previous treatment failure"
NCT39774186,A Phase I Study of Novel pharmaceutical compound in Diabetes Type 2,Diabetes Type 2,Immunotherapy,II,Recruiting,2019-05-14,2020-12-14,Merck,1355,Safety and efficacy of intervention in Diabetes Type 2,United States,Adults aged 18-75 with confirmed Diabetes Type 2,"Pregnancy, severe comorbidities, previous treatment failure"
NCT15478361,A Phase IV Study of Immunotherapy in Diabetes Type 2,Diabetes Type 2,Immunotherapy,III,Not yet recruiting,2022-09-12,2023-03-28,Academic Medical Center,2504,Safety and efficacy of intervention in Diabetes Type 2,Asia-Pacific,Adults aged 18-75 with confirmed Diabetes Type 2,"Pregnancy, severe comorbidities, previous treatment failure"
NCT46084630,A Phase II Study of Stem cell therapy in Parkinson's Disease,Parkinson's Disease,Medical device,IV,Terminated,2025-06-16,2028-03-13,NIH,1409,Safety and efficacy of intervention in Parkinson's Disease,United States,Adults aged 18-75 with confirmed Parkinson's Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT63830378,A Phase I Study of Stem cell therapy in Hepatitis C,Hepatitis C,Behavioral intervention,I,Suspended,2023-09-27,2026-10-30,Novartis,154,Safety and efficacy of intervention in Hepatitis C,Europe,Adults aged 18-75 with confirmed Hepatitis C,"Pregnancy, severe comorbidities, previous treatment failure"
NCT93422451,A Phase II Study of Medical device in Chronic Kidney Disease,Chronic Kidney Disease,Surgical procedure,II,Suspended,2020-11-05,2025-05-21,Academic Medical Center,1340,Safety and efficacy of intervention in Chronic Kidney Disease,Global,Adults aged 18-75 with confirmed Chronic Kidney Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT35400983,A Phase IV Study of Stem cell therapy in Heart Failure,Heart Failure,Behavioral intervention,II,Completed,2019-03-26,2022-09-02,Johnson & Johnson,448,Safety and efficacy of intervention in Heart Failure,United States,Adults aged 18-75 with confirmed Heart Failure,"Pregnancy, severe comorbidities, previous treatment failure"
NCT82803358,A Phase III Study of Vaccine in Hepatitis C,Hepatitis C,Novel pharmaceutical compound,III,Completed,2023-08-11,2026-04-04,Johnson & Johnson,1644,Safety and efficacy of intervention in Hepatitis C,Europe,Adults aged 18-75 with confirmed Hepatitis C,"Pregnancy, severe comorbidities, previous treatment failure"
NCT54529508,A Phase II Study of Combination therapy in Lupus,Lupus,Immunotherapy,III,Terminated,2025-08-05,2028-05-23,Roche,4376,Safety and efficacy of intervention in Lupus,Europe,Adults aged 18-75 with confirmed Lupus,"Pregnancy, severe comorbidities, previous treatment failure"
NCT62396603,A Phase III Study of Stem cell therapy in Schizophrenia,Schizophrenia,Behavioral intervention,IV,Recruiting,2018-11-15,2019-08-23,Johnson & Johnson,4595,Safety and efficacy of intervention in Schizophrenia,Global,Adults aged 18-75 with confirmed Schizophrenia,"Pregnancy, severe comorbidities, previous treatment failure"
NCT28210534,A Phase II Study of Dietary supplement in Breast Cancer,Breast Cancer,Dietary supplement,I,Completed,2024-05-17,2026-01-31,Novartis,3033,Safety and efficacy of intervention in Breast Cancer,Europe,Adults aged 18-75 with confirmed Breast Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT84098844,A Phase I Study of Vaccine in Coronary Artery Disease,Coronary Artery Disease,Medical device,II,Suspended,2025-05-04,2029-07-16,Roche,2164,Safety and efficacy of intervention in Coronary Artery Disease,Global,Adults aged 18-75 with confirmed Coronary Artery Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT12019012,A Phase III Study of Behavioral intervention in Prostate Cancer,Prostate Cancer,Immunotherapy,III,Recruiting,2024-01-28,2028-11-23,NIH,2921,Safety and efficacy of intervention in Prostate Cancer,Europe,Adults aged 18-75 with confirmed Prostate Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT79572096,A Phase I Study of Medical device in Bipolar Disorder,Bipolar Disorder,Dietary supplement,I,Recruiting,2020-03-08,2021-10-22,Pfizer,4511,Safety and efficacy of intervention in Bipolar Disorder,Asia-Pacific,Adults aged 18-75 with confirmed Bipolar Disorder,"Pregnancy, severe comorbidities, previous treatment failure"
NCT98604542,A Phase III Study of Stem cell therapy in HIV/AIDS,HIV/AIDS,Novel pharmaceutical compound,I,Recruiting,2021-05-25,2023-03-03,Novartis,91,Safety and efficacy of intervention in HIV/AIDS,Europe,Adults aged 18-75 with confirmed HIV/AIDS,"Pregnancy, severe comorbidities, previous treatment failure"
NCT71177915,A Phase IV Study of Vaccine in HIV/AIDS,HIV/AIDS,Behavioral intervention,I,Recruiting,2020-10-30,2025-08-21,Academic Medical Center,34,Safety and efficacy of intervention in HIV/AIDS,Global,Adults aged 18-75 with confirmed HIV/AIDS,"Pregnancy, severe comorbidities, previous treatment failure"
NCT31448016,A Phase IV Study of Gene therapy in ADHD,ADHD,Novel pharmaceutical compound,II,Terminated,2025-05-18,2029-11-10,Novartis,500,Safety and efficacy of intervention in ADHD,United States,Adults aged 18-75 with confirmed ADHD,"Pregnancy, severe comorbidities, previous treatment failure"
NCT88866294,A Phase I Study of Combination therapy in Alzheimer's Disease,Alzheimer's Disease,Combination therapy,I,Terminated,2025-04-11,2026-12-28,NIH,434,Safety and efficacy of intervention in Alzheimer's Disease,Europe,Adults aged 18-75 with confirmed Alzheimer's Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT25080398,A Phase I Study of Gene therapy in Sleep Apnea,Sleep Apnea,Surgical procedure,IV,Terminated,2019-06-06,2020-11-11,Pfizer,2758,Safety and efficacy of intervention in Sleep Apnea,United States,Adults aged 18-75 with confirmed Sleep Apnea,"Pregnancy, severe comorbidities, previous treatment failure"
NCT77611204,A Phase II Study of Dietary supplement in Lung Cancer,Lung Cancer,Behavioral intervention,III,Not yet recruiting,2024-07-09,2027-08-16,Pfizer,3247,Safety and efficacy of intervention in Lung Cancer,Europe,Adults aged 18-75 with confirmed Lung Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT89807860,A Phase III Study of Behavioral intervention in Hepatitis C,Hepatitis C,Behavioral intervention,II,Terminated,2022-07-18,2023-10-26,Academic Medical Center,424,Safety and efficacy of intervention in Hepatitis C,Asia-Pacific,Adults aged 18-75 with confirmed Hepatitis C,"Pregnancy, severe comorbidities, previous treatment failure"
NCT98972058,A Phase III Study of Immunotherapy in Rheumatoid Arthritis,Rheumatoid Arthritis,Immunotherapy,I,"Active, not recruiting",2024-09-12,2026-12-20,Roche,1152,Safety and efficacy of intervention in Rheumatoid Arthritis,Europe,Adults aged 18-75 with confirmed Rheumatoid Arthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT60309706,A Phase IV Study of Behavioral intervention in ADHD,ADHD,Stem cell therapy,III,Terminated,2024-12-30,2029-05-24,GSK,1776,Safety and efficacy of intervention in ADHD,Europe,Adults aged 18-75 with confirmed ADHD,"Pregnancy, severe comorbidities, previous treatment failure"
NCT62595033,A Phase IV Study of Novel pharmaceutical compound in Breast Cancer,Breast Cancer,Stem cell therapy,IV,Recruiting,2024-01-05,2026-02-19,Johnson & Johnson,4203,Safety and efficacy of intervention in Breast Cancer,Global,Adults aged 18-75 with confirmed Breast Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT92536102,A Phase I Study of Novel pharmaceutical compound in Diabetes Type 2,Diabetes Type 2,Combination therapy,III,Recruiting,2023-08-22,2024-04-06,Pfizer,345,Safety and efficacy of intervention in Diabetes Type 2,United States,Adults aged 18-75 with confirmed Diabetes Type 2,"Pregnancy, severe comorbidities, previous treatment failure"
NCT69246097,A Phase I Study of Dietary supplement in Bipolar Disorder,Bipolar Disorder,Medical device,I,"Active, not recruiting",2025-01-07,2028-11-22,Roche,110,Safety and efficacy of intervention in Bipolar Disorder,Europe,Adults aged 18-75 with confirmed Bipolar Disorder,"Pregnancy, severe comorbidities, previous treatment failure"
NCT38908293,A Phase III Study of Novel pharmaceutical compound in Breast Cancer,Breast Cancer,Surgical procedure,I,"Active, not recruiting",2024-06-22,2028-06-02,Johnson & Johnson,1453,Safety and efficacy of intervention in Breast Cancer,Europe,Adults aged 18-75 with confirmed Breast Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT48047578,A Phase I Study of Behavioral intervention in Coronary Artery Disease,Coronary Artery Disease,Combination therapy,I,Recruiting,2021-10-10,2025-01-25,Johnson & Johnson,1469,Safety and efficacy of intervention in Coronary Artery Disease,United States,Adults aged 18-75 with confirmed Coronary Artery Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT47493816,A Phase IV Study of Gene therapy in Colorectal Cancer,Colorectal Cancer,Vaccine,I,"Active, not recruiting",2024-10-04,2028-12-09,Roche,3823,Safety and efficacy of intervention in Colorectal Cancer,United States,Adults aged 18-75 with confirmed Colorectal Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT54937215,A Phase IV Study of Immunotherapy in HIV/AIDS,HIV/AIDS,Surgical procedure,IV,Completed,2021-10-28,2026-01-03,Johnson & Johnson,834,Safety and efficacy of intervention in HIV/AIDS,United States,Adults aged 18-75 with confirmed HIV/AIDS,"Pregnancy, severe comorbidities, previous treatment failure"
NCT84527719,A Phase II Study of Dietary supplement in Bipolar Disorder,Bipolar Disorder,Combination therapy,II,Completed,2024-04-09,2028-10-27,Novartis,2153,Safety and efficacy of intervention in Bipolar Disorder,Europe,Adults aged 18-75 with confirmed Bipolar Disorder,"Pregnancy, severe comorbidities, previous treatment failure"
NCT25903679,A Phase I Study of Medical device in Lupus,Lupus,Gene therapy,III,Terminated,2022-06-05,2026-08-21,Roche,1264,Safety and efficacy of intervention in Lupus,Global,Adults aged 18-75 with confirmed Lupus,"Pregnancy, severe comorbidities, previous treatment failure"
NCT13793036,A Phase III Study of Behavioral intervention in Lung Cancer,Lung Cancer,Stem cell therapy,IV,Recruiting,2022-09-18,2027-04-10,Novartis,730,Safety and efficacy of intervention in Lung Cancer,Europe,Adults aged 18-75 with confirmed Lung Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT62442834,A Phase II Study of Dietary supplement in Schizophrenia,Schizophrenia,Surgical procedure,IV,Not yet recruiting,2025-06-20,2026-01-06,NIH,4592,Safety and efficacy of intervention in Schizophrenia,Global,Adults aged 18-75 with confirmed Schizophrenia,"Pregnancy, severe comorbidities, previous treatment failure"
NCT15100425,A Phase IV Study of Medical device in Lung Cancer,Lung Cancer,Vaccine,IV,Suspended,2020-05-28,2023-03-31,Novartis,4284,Safety and efficacy of intervention in Lung Cancer,Asia-Pacific,Adults aged 18-75 with confirmed Lung Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT41081935,A Phase II Study of Vaccine in ADHD,ADHD,Surgical procedure,III,Recruiting,2022-06-07,2024-02-23,Merck,4575,Safety and efficacy of intervention in ADHD,United States,Adults aged 18-75 with confirmed ADHD,"Pregnancy, severe comorbidities, previous treatment failure"
NCT63474845,A Phase II Study of Behavioral intervention in Lung Cancer,Lung Cancer,Immunotherapy,III,Suspended,2019-04-21,2023-06-22,Merck,4582,Safety and efficacy of intervention in Lung Cancer,United States,Adults aged 18-75 with confirmed Lung Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT53936844,A Phase II Study of Vaccine in Coronary Artery Disease,Coronary Artery Disease,Behavioral intervention,II,Not yet recruiting,2024-06-06,2029-04-27,Roche,624,Safety and efficacy of intervention in Coronary Artery Disease,Europe,Adults aged 18-75 with confirmed Coronary Artery Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT50622428,A Phase III Study of Medical device in Colorectal Cancer,Colorectal Cancer,Behavioral intervention,I,Completed,2024-03-30,2025-02-09,Johnson & Johnson,1943,Safety and efficacy of intervention in Colorectal Cancer,United States,Adults aged 18-75 with confirmed Colorectal Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT65109863,A Phase II Study of Combination therapy in Osteoarthritis,Osteoarthritis,Vaccine,IV,Suspended,2023-08-15,2027-08-24,Roche,876,Safety and efficacy of intervention in Osteoarthritis,Global,Adults aged 18-75 with confirmed Osteoarthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT67374323,A Phase III Study of Stem cell therapy in Colorectal Cancer,Colorectal Cancer,Immunotherapy,III,Terminated,2020-08-19,2022-02-20,GSK,3237,Safety and efficacy of intervention in Colorectal Cancer,United States,Adults aged 18-75 with confirmed Colorectal Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT45359441,A Phase IV Study of Combination therapy in Sleep Apnea,Sleep Apnea,Combination therapy,IV,Not yet recruiting,2024-05-20,2028-01-27,Pfizer,170,Safety and efficacy of intervention in Sleep Apnea,Asia-Pacific,Adults aged 18-75 with confirmed Sleep Apnea,"Pregnancy, severe comorbidities, previous treatment failure"
NCT57584677,A Phase III Study of Surgical procedure in Lung Cancer,Lung Cancer,Dietary supplement,I,Suspended,2021-12-03,2023-04-23,Merck,360,Safety and efficacy of intervention in Lung Cancer,Global,Adults aged 18-75 with confirmed Lung Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT16576222,A Phase I Study of Gene therapy in Prostate Cancer,Prostate Cancer,Novel pharmaceutical compound,IV,Suspended,2024-06-15,2025-06-19,Pfizer,2860,Safety and efficacy of intervention in Prostate Cancer,Global,Adults aged 18-75 with confirmed Prostate Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT52849757,A Phase IV Study of Surgical procedure in ADHD,ADHD,Medical device,I,Recruiting,2024-08-25,2025-06-25,Academic Medical Center,876,Safety and efficacy of intervention in ADHD,Europe,Adults aged 18-75 with confirmed ADHD,"Pregnancy, severe comorbidities, previous treatment failure"
NCT88632205,A Phase III Study of Immunotherapy in Chronic Kidney Disease,Chronic Kidney Disease,Medical device,I,Not yet recruiting,2024-06-15,2025-06-10,NIH,1640,Safety and efficacy of intervention in Chronic Kidney Disease,Asia-Pacific,Adults aged 18-75 with confirmed Chronic Kidney Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT11219298,A Phase IV Study of Gene therapy in Sleep Apnea,Sleep Apnea,Immunotherapy,IV,Terminated,2021-05-18,2024-04-14,Pfizer,2898,Safety and efficacy of intervention in Sleep Apnea,Global,Adults aged 18-75 with confirmed Sleep Apnea,"Pregnancy, severe comorbidities, previous treatment failure"
NCT18243338,A Phase IV Study of Vaccine in HIV/AIDS,HIV/AIDS,Behavioral intervention,III,Suspended,2021-12-04,2024-10-26,Pfizer,2726,Safety and efficacy of intervention in HIV/AIDS,Europe,Adults aged 18-75 with confirmed HIV/AIDS,"Pregnancy, severe comorbidities, previous treatment failure"
NCT73626772,A Phase III Study of Novel pharmaceutical compound in Chronic Kidney Disease,Chronic Kidney Disease,Vaccine,I,Not yet recruiting,2022-09-18,2024-03-20,GSK,873,Safety and efficacy of intervention in Chronic Kidney Disease,Global,Adults aged 18-75 with confirmed Chronic Kidney Disease,"Pregnancy, severe comorbidities, previous treatment failure"
